"PartitionKey,""RowKey"",""Date"",""Day7"""
NXT,2519450801982769278,05.03.2016 23:30:01,-6.60
NXT,2519450819983433327,05.03.2016 23:00:01,-7.46
NXT,2519450837984610165,05.03.2016 22:30:01,-6.87
NXT,2519450855983148249,05.03.2016 22:00:01,-6.59
NXT,2519450873985842162,05.03.2016 21:30:01,-5.91
NXT,2519450891984668793,05.03.2016 21:00:01,-6.94
NXT,2519450909984113056,05.03.2016 20:30:01,-7.57
NXT,2519450927985874075,05.03.2016 20:00:01,-7.58
NXT,2519450945986604639,05.03.2016 19:30:01,-7.32
NXT,2519450963987790088,05.03.2016 19:00:01,-6.67
NXT,2519450981986339258,05.03.2016 18:30:01,-6.50
NXT,2519450999986820489,05.03.2016 18:00:01,-6.53
NXT,2519451017985329671,05.03.2016 17:30:01,-9.01
NXT,2519451035986192259,05.03.2016 17:00:01,-9.26
NXT,2519451053983995816,05.03.2016 16:30:01,-7.60
NXT,2519451071984668118,05.03.2016 16:00:01,-5.90
NXT,2519451089984778199,05.03.2016 15:30:01,-6.04
NXT,2519451107985993059,05.03.2016 15:00:01,-5.80
NXT,2519451125984503485,05.03.2016 14:30:01,-6.53
NXT,2519451143967285862,05.03.2016 14:00:03,-6.08
NXT,2519451161983855656,05.03.2016 13:30:01,-6.77
NXT,2519451179974839197,05.03.2016 13:00:02,-6.56
NXT,2519451197984114162,05.03.2016 12:30:01,-6.24
NXT,2519451215968174762,05.03.2016 12:00:03,-5.21
NXT,2519451233983763170,05.03.2016 11:30:01,-6.54
NXT,2519451251976812266,05.03.2016 11:00:02,-8.43
NXT,2519451269985265964,05.03.2016 10:30:01,-8.55
NXT,2519451287977330757,05.03.2016 10:00:02,-8.36
NXT,2519451305984674202,05.03.2016 09:30:01,-9.40
NXT,2519451323975035913,05.03.2016 09:00:02,-9.78
NXT,2519451341985251782,05.03.2016 08:30:01,-9.29
NXT,2519451359976083142,05.03.2016 08:00:02,-9.71
NXT,2519451377985185516,05.03.2016 07:30:01,-8.42
NXT,2519451395976624171,05.03.2016 07:00:02,-8.43
NXT,2519451413982953822,05.03.2016 06:30:01,-7.92
NXT,2519451431975073543,05.03.2016 06:00:02,-7.98
NXT,2519451449983407606,05.03.2016 05:30:01,-6.99
NXT,2519451467978219944,05.03.2016 05:00:02,-7.17
NXT,2519451485984952701,05.03.2016 04:30:01,-6.63
NXT,2519451503977815181,05.03.2016 04:00:02,-4.13
NXT,2519451521985546563,05.03.2016 03:30:01,-2.85
NXT,2519451539975454017,05.03.2016 03:00:02,-2.54
NXT,2519451557986717606,05.03.2016 02:30:01,-1.99
NXT,2519451575987146261,05.03.2016 02:00:01,-2.64
NXT,2519451593980520658,05.03.2016 01:30:01,-1.54
NXT,2519451611988582637,05.03.2016 01:00:01,-2.84
NXT,2519451629989535550,05.03.2016 00:30:01,-3.40
NXT,2519451647989552645,05.03.2016 00:00:01,-3.18
NXT,2519451665988564927,04.03.2016 23:30:01,-3.56
NXT,2519451683987897233,04.03.2016 23:00:01,-2.62
NXT,2519451701988280833,04.03.2016 22:30:01,-1.52
NXT,2519451719987849166,04.03.2016 22:00:01,-1.62
NXT,2519451737988332622,04.03.2016 21:30:01,-2.40
NXT,2519451755987217266,04.03.2016 21:00:01,-2.68
NXT,2519451773985156357,04.03.2016 20:30:01,-2.91
NXT,2519451791986716465,04.03.2016 20:00:01,-2.14
NXT,2519451809988261431,04.03.2016 19:30:01,-2.23
NXT,2519451827988533902,04.03.2016 19:00:01,-2.26
NXT,2519451845979569219,04.03.2016 18:30:02,-2.37
NXT,2519451863973221202,04.03.2016 18:00:02,-2.27
NXT,2519451881979021126,04.03.2016 17:30:02,-3.75
NXT,2519451899976797577,04.03.2016 17:00:02,-2.74
NXT,2519451917979669323,04.03.2016 16:30:02,-3.79
NXT,2519451935977283213,04.03.2016 16:00:02,-2.32
NXT,2519451953979455865,04.03.2016 15:30:02,-2.96
NXT,2519451971974784224,04.03.2016 15:00:02,-3.45
NXT,2519451989980718970,04.03.2016 14:30:01,-1.17
NXT,2519452007974371903,04.03.2016 14:00:02,-1.62
NXT,2519452025980019969,04.03.2016 13:30:01,-3.37
NXT,2519452043973650789,04.03.2016 13:00:02,-3.45
NXT,2519452061981593947,04.03.2016 12:30:01,-3.96
NXT,2519452079974486751,04.03.2016 12:00:02,-3.43
NXT,2519452097980438361,04.03.2016 11:30:01,-5.24
NXT,2519452115973433924,04.03.2016 11:00:02,-3.98
NXT,2519452133980180866,04.03.2016 10:30:01,-2.86
NXT,2519452151976374712,04.03.2016 10:00:02,-2.92
NXT,2519452169979978250,04.03.2016 09:30:02,-2.66
NXT,2519452187973711647,04.03.2016 09:00:02,-3.30
NXT,2519452205980033337,04.03.2016 08:30:01,-3.03
NXT,2519452223972934318,04.03.2016 08:00:02,-2.08
NXT,2519452241981007290,04.03.2016 07:30:01,-3.19
NXT,2519452259974634439,04.03.2016 07:00:02,-3.21
NXT,2519452277980843479,04.03.2016 06:30:01,-3.10
NXT,2519452295973427044,04.03.2016 06:00:02,-3.03
NXT,2519452313979786446,04.03.2016 05:30:02,-3.48
NXT,2519452331975026569,04.03.2016 05:00:02,-3.39
NXT,2519452349979742098,04.03.2016 04:30:02,-3.76
NXT,2519452367971342189,04.03.2016 04:00:02,-3.68
NXT,2519452385979864924,04.03.2016 03:30:02,-3.03
NXT,2519452403972949497,04.03.2016 03:00:02,-2.79
NXT,2519452421979807784,04.03.2016 02:30:02,-3.47
NXT,2519452439973475975,04.03.2016 02:00:02,-2.60
NXT,2519452457981367820,04.03.2016 01:30:01,-2.06
NXT,2519452475975135760,04.03.2016 01:00:02,-2.20
NXT,2519452493979800367,04.03.2016 00:30:02,-2.26
NXT,2519452511973120980,04.03.2016 00:00:02,-2.27
NXT,2519452529981787489,03.03.2016 23:30:01,-2.18
NXT,2519452547975882896,03.03.2016 23:00:02,-0.83
NXT,2519452565981559245,03.03.2016 22:30:01,-3.29
NXT,2519452583976154398,03.03.2016 22:00:02,-2.55
NXT,2519452601982709056,03.03.2016 21:30:01,-2.62
NXT,2519452619976837811,03.03.2016 21:00:02,-3.25
NXT,2519452637983090313,03.03.2016 20:30:01,-2.98
NXT,2519452655975829000,03.03.2016 20:00:02,-3.74
NXT,2519452673982839373,03.03.2016 19:30:01,-4.32
NXT,2519452691975989173,03.03.2016 19:00:02,-4.54
